2026/04/03 02:16:01 server listening on :8080
2026/04/03 02:20:10 http POST /api/auth/login status=200 duration=120.627083ms
2026/04/03 02:20:11 http GET /api/notifications status=200 duration=8.637584ms
2026/04/03 02:20:11 http GET /api/notifications status=200 duration=23.354375ms
2026/04/03 02:20:11 http GET /api/shipments/by-station/shymkent status=200 duration=28.282417ms
2026/04/03 02:20:11 http GET /api/shipments/by-station/shymkent status=200 duration=25.859667ms
2026/04/03 02:20:23 http GET /api/shipments/by-station/shymkent status=200 duration=1.130708ms
2026/04/03 02:20:28 http POST /api/auth/login status=200 duration=102.759042ms
2026/04/03 02:20:28 http GET /api/notifications status=200 duration=1.383042ms
2026/04/03 02:20:28 http GET /api/notifications status=200 duration=1.496208ms
2026/04/03 02:20:36 http GET /api/shipments status=200 duration=1.097125ms
2026/04/03 02:20:36 http GET /api/shipments status=200 duration=1.151791ms
2026/04/03 02:20:36 http GET /api/shipments status=200 duration=2.308333ms
2026/04/03 02:20:36 http GET /api/shipments status=200 duration=1.351583ms
2026/04/03 02:20:42 http GET /api/clients status=200 duration=1.228542ms
2026/04/03 02:20:42 http GET /api/clients status=200 duration=1.974ms
2026/04/03 02:20:47 http GET /api/notifications status=200 duration=712.792µs
2026/04/03 02:20:47 http GET /api/notifications status=200 duration=862µs
2026/04/03 02:20:53 http GET /api/shipments status=200 duration=2.037ms
2026/04/03 02:20:53 http GET /api/shipments status=200 duration=2.294125ms
2026/04/03 02:20:58 http GET /api/shipments status=200 duration=1.540583ms
2026/04/03 02:20:58 http GET /api/shipments status=200 duration=1.641416ms
2026/04/03 02:21:01 http GET /api/shipments status=200 duration=599.625µs
2026/04/03 02:21:01 http GET /api/shipments status=200 duration=595.75µs
2026/04/03 02:21:02 http GET /api/shipments status=200 duration=2.666708ms
2026/04/03 02:21:02 http GET /api/shipments status=200 duration=2.729708ms
2026/04/03 02:21:02 http GET /api/shipments status=200 duration=1.744417ms
2026/04/03 02:21:02 http GET /api/shipments status=200 duration=495.375µs
2026/04/03 02:21:09 http GET /api/shipments status=200 duration=978.834µs
2026/04/03 02:21:09 http GET /api/shipments status=200 duration=1.291708ms
2026/04/03 02:21:17 http POST /api/auth/login status=200 duration=103.518584ms
2026/04/03 02:21:18 http GET /api/notifications status=200 duration=513.167µs
2026/04/03 02:21:18 http GET /api/notifications status=200 duration=454.917µs
2026/04/03 02:21:18 http GET /api/reports/dashboard status=200 duration=13.594292ms
2026/04/03 02:21:18 http GET /api/reports/dashboard status=200 duration=5.614041ms
2026/04/03 02:21:26 http POST /api/auth/login status=200 duration=103.469916ms
2026/04/03 02:21:26 http GET /api/notifications status=200 duration=456.125µs
2026/04/03 02:21:26 http GET /api/notifications status=200 duration=302.416µs
2026/04/03 02:21:26 http GET /api/admin/employees status=200 duration=1.408958ms
2026/04/03 02:21:26 http GET /api/admin/employees status=200 duration=290.042µs
2026/04/03 02:21:34 http POST /api/auth/login status=200 duration=102.896166ms
2026/04/03 02:21:34 http GET /api/notifications status=200 duration=419.958µs
2026/04/03 02:21:34 http GET /api/notifications status=200 duration=467.667µs
2026/04/03 02:21:34 http GET /api/admin/employees status=200 duration=901.75µs
2026/04/03 02:21:34 http GET /api/admin/employees status=200 duration=242.375µs
2026/04/03 02:21:55 http POST /api/admin/employees status=200 duration=110.8365ms
2026/04/03 02:21:55 http GET /api/admin/employees status=200 duration=458.042µs
2026/04/03 02:22:04 http POST /api/auth/login status=200 duration=103.536625ms
