2026/04/02 22:47:09 server listening on :8080
2026/04/02 22:47:53 http GET /api/admin/employees status=200 duration=18.12125ms
2026/04/02 22:47:53 http GET /api/admin/employees status=200 duration=18.146ms
2026/04/02 22:47:53 http GET /api/notifications status=200 duration=18.504334ms
2026/04/02 22:47:53 http GET /api/notifications status=200 duration=18.503958ms
2026/04/02 22:47:56 http GET /api/admin/employees status=200 duration=724.833µs
2026/04/02 22:47:56 http GET /api/notifications status=200 duration=790.25µs
2026/04/02 22:47:56 http GET /api/notifications status=200 duration=1.714666ms
2026/04/02 22:47:56 http GET /api/admin/employees status=200 duration=1.854458ms
2026/04/02 22:48:02 http POST /api/auth/login status=200 duration=104.263708ms
2026/04/02 22:48:02 http GET /api/notifications status=200 duration=278.125µs
2026/04/02 22:48:02 http GET /api/notifications status=200 duration=301.458µs
2026/04/02 22:48:19 http POST /api/auth/login status=200 duration=104.808958ms
2026/04/02 22:48:19 http GET /api/notifications status=200 duration=1.142ms
2026/04/02 22:48:19 http GET /api/notifications status=200 duration=182.792µs
2026/04/02 22:54:37 http GET /api/shipments status=200 duration=5.562417ms
2026/04/02 22:54:37 http GET /api/shipments status=200 duration=5.765083ms
2026/04/02 22:54:37 http GET /api/shipments status=200 duration=678µs
2026/04/02 22:54:37 http GET /api/shipments status=200 duration=625.541µs
2026/04/02 22:55:17 http GET /api/shipments status=200 duration=3.484209ms
2026/04/02 22:55:17 http GET /api/shipments status=200 duration=2.70475ms
2026/04/02 22:55:26 http GET /api/shipments status=200 duration=706.416µs
2026/04/02 22:55:26 http GET /api/shipments status=200 duration=444.875µs
2026/04/02 22:55:27 http GET /api/shipments status=200 duration=1.482333ms
2026/04/02 22:55:27 http GET /api/shipments status=200 duration=987.375µs
2026/04/02 22:55:27 http GET /api/shipments status=200 duration=645.334µs
2026/04/02 22:55:27 http GET /api/shipments status=200 duration=797.208µs
2026/04/02 22:55:27 http GET /api/shipments status=200 duration=1.039875ms
2026/04/02 22:55:27 http GET /api/shipments status=200 duration=260.541µs
2026/04/02 22:56:36 http POST /api/shipments status=403 duration=2.598167ms
2026/04/02 22:57:24 http POST /api/shipments status=403 duration=268.291µs
2026/04/02 22:57:34 http POST /api/shipments status=403 duration=197.125µs
2026/04/02 22:57:41 http POST /api/shipments status=403 duration=469.875µs
2026/04/02 22:58:00 http GET /api/clients status=200 duration=2.998875ms
2026/04/02 22:58:00 http GET /api/clients status=200 duration=2.498875ms
2026/04/02 22:58:02 http GET /api/notifications status=200 duration=694.333µs
2026/04/02 22:58:02 http GET /api/notifications status=200 duration=1.276083ms
2026/04/02 22:58:05 http GET /api/shipments status=200 duration=851.375µs
2026/04/02 22:58:05 http GET /api/shipments status=200 duration=304.209µs
2026/04/02 22:58:05 http GET /api/shipments status=200 duration=610.75µs
2026/04/02 22:58:05 http GET /api/shipments status=200 duration=522.625µs
2026/04/02 22:58:05 http GET /api/shipments status=200 duration=640.667µs
2026/04/02 22:58:05 http GET /api/shipments status=200 duration=437.083µs
2026/04/02 22:58:06 http GET /api/shipments status=200 duration=331.333µs
2026/04/02 22:58:06 http GET /api/shipments status=200 duration=204.542µs
2026/04/02 22:58:16 http GET /api/shipments status=200 duration=1.859333ms
2026/04/02 22:58:18 http POST /api/auth/login status=200 duration=108.8575ms
2026/04/02 22:58:18 http GET /api/notifications status=200 duration=352.916µs
2026/04/02 22:58:18 http GET /api/shipments/by-station/shymkent status=200 duration=573.709µs
2026/04/02 22:58:18 http GET /api/shipments/by-station/shymkent status=200 duration=651.625µs
2026/04/02 22:58:18 http GET /api/notifications status=200 duration=761.458µs
2026/04/02 22:58:26 http GET /api/shipments status=200 duration=984.625µs
2026/04/02 22:58:28 http GET /api/shipments/by-station/shymkent status=200 duration=1.181833ms
2026/04/02 22:58:38 http GET /api/shipments/by-station/shymkent status=200 duration=667.333µs
2026/04/02 22:58:48 http GET /api/shipments/by-station/shymkent status=200 duration=1.471167ms
signal: terminated
