2026/04/10 05:49:00 server listening on :8080
2026/04/10 05:52:38 http GET /api/notifications status=200 duration=2.869208ms
2026/04/10 05:52:38 http GET /api/notifications status=200 duration=6.071416ms
2026/04/10 05:52:38 http GET /api/clients/ status=404 duration=11.917µs
2026/04/10 05:52:38 http GET /api/clients/ status=404 duration=7µs
2026/04/10 05:53:13 http GET /api/notifications status=200 duration=440.833µs
2026/04/10 05:53:13 http GET /api/notifications status=200 duration=412.125µs
2026/04/10 05:53:13 http GET /api/clients/ status=404 duration=28.834µs
2026/04/10 05:53:13 http GET /api/clients/ status=404 duration=29.459µs
2026/04/10 05:53:27 http GET /api/clients/ status=404 duration=38.167µs
2026/04/10 05:53:27 http GET /api/clients/ status=404 duration=21.416µs
2026/04/10 05:53:55 http POST /api/auth/register status=200 duration=94.80175ms
2026/04/10 05:53:57 http GET /api/notifications status=200 duration=740µs
2026/04/10 05:53:57 http GET /api/notifications status=200 duration=365.25µs
2026/04/10 05:53:59 http POST /api/payments/topup status=200 duration=3.389416ms
2026/04/10 05:54:01 http GET /api/notifications status=200 duration=689.334µs
2026/04/10 05:54:07 http POST /api/auth/login status=200 duration=84.692917ms
2026/04/10 05:54:07 http GET /api/notifications status=200 duration=281.917µs
2026/04/10 05:54:07 http GET /api/notifications status=200 duration=272.708µs
2026/04/10 05:54:28 http POST /api/auth/login status=200 duration=81.806041ms
2026/04/10 05:54:28 http GET /api/notifications status=200 duration=255.25µs
2026/04/10 05:54:28 http GET /api/notifications status=200 duration=175.542µs
2026/04/10 05:54:28 http GET /api/clients/ status=404 duration=11.084µs
2026/04/10 05:54:28 http GET /api/clients/ status=404 duration=5.916µs
2026/04/10 05:54:30 http GET /api/clients/ status=404 duration=41.792µs
2026/04/10 05:54:30 http GET /api/clients/ status=404 duration=15.375µs
2026/04/10 05:54:51 http GET /api/clients/ status=404 duration=40.917µs
2026/04/10 05:54:51 http GET /api/clients/ status=404 duration=41.208µs
2026/04/10 05:56:43 http GET /api/clients/ status=404 duration=38.084µs
2026/04/10 05:56:43 http GET /api/clients/ status=404 duration=20.75µs
2026/04/10 05:57:20 http GET /api/clients status=200 duration=619.291µs
2026/04/10 05:59:28 http GET /api/clients/ status=404 duration=14.583µs
2026/04/10 05:59:28 http GET /api/clients/ status=404 duration=16.708µs
2026/04/10 05:59:28 http GET /api/clients/ status=404 duration=12.958µs
2026/04/10 05:59:28 http GET /api/clients/ status=404 duration=15.209µs
2026/04/10 05:59:43 http GET /api/clients status=200 duration=426.458µs
2026/04/10 05:59:43 http GET /api/clients status=200 duration=282.208µs
2026/04/10 06:00:32 http GET /api/clients status=200 duration=568.125µs
2026/04/10 06:00:32 http GET /api/clients status=200 duration=1.237167ms
2026/04/10 06:00:40 http GET /api/clients status=200 duration=642.667µs
2026/04/10 06:00:40 http GET /api/clients status=200 duration=672.208µs
2026/04/10 06:00:51 http GET /api/clients status=200 duration=625.75µs
2026/04/10 06:00:51 http GET /api/clients status=200 duration=627.209µs
2026/04/10 06:00:53 http GET /api/clients status=200 duration=555.583µs
2026/04/10 06:00:53 http GET /api/clients status=200 duration=590.791µs
2026/04/10 06:08:09 http GET /api/clients status=200 duration=390.458µs
